ID	PALABRA	NOTAS TRADUCTOR	ORACION EN CUICATECO	ORACION EN ESPAÑOL	NOTAS ORIGINAL	ESPAÑOL ORIGINAL		
493.				El hombre mató al perro que me estaba mordiendo.		El hombre mató al perro que me estaba mordiendo.		
494.				El perro estaba enfermo.		El perro estaba enfermo.		
495.				El perro que mató ese hombre estaba enfermo.		El perro que mató ese hombre estaba enfermo.		
496.				El perro que mató ese hombre me estaba mordiendo.		El perro que mató ese hombre me estaba mordiendo.		
497.				¿Cuál de los hombres que mataron al perro salió?		¿Cuál de los hombres que mataron al perro salió?		
498.				Salió el hombre al que le maté al perro.		Salió el hombre al que le maté al perro.		
499.				El hombre salió de la casa en la que mató al perro.		El hombre salió de la casa en la que mató al perro.		
500.				Encontré el machete donde lo dejaste.		Encontré el machete donde lo dejaste.		
501.				Vine en camión desde donde nos separamos.		Vine en camión desde donde nos separamos.		
502.			!Ted botella chi snú nuni ú!	¡Dame la botella que tiene agua!		¡Dame la botella que tiene agua!		
503.			¡Ted ama botella ñe'e nuni ú!	¡Dame una botella de agua!		¡Dame una botella que tenga agua!		
504.			¡Ted kaja nochi jinabad kerillo ú!	¡Dame la caja donde guardas los cerillos!		¡Dame la caja donde guardas los cerillos!		
505.			¡Ted gikuu nuku chi íkad yuta ú!	¡Dame el cuchillo con que cortas la carne!		¡Dame el cuchillo con que cortas la carne!		
506.			Gua jinichí chë nuku chi ndod 	No conozco al señor con el que viniste.		No conozco al señor con el que viniste.		
507.			Nichi chë 	Vi al señor al que le vendiste las gallinas.		Vi al señor al que le vendiste las gallinas.		
508.				Este es el señor que vimos sembrando.	(El que sembraba era el señor)	Este es el señor que vimos sembrando. (El que sembraba era el señor)		
509.				El es viejo.		El es viejo.		
510.				El es el más viejo.		El es el más viejo.		
511.				El más viejo se murió.		El más viejo se murió.		
512.				El borde del comal está quebrado.		El borde del comal está quebrado.		
513.				El caballo de Juan se murió.		El caballo de Juan se murió.		
514.				El caballo de tu amigo se murió.		El caballo de tu amigo se murió.		
515.				El techo de la casa se cayó.		El techo de la casa se cayó.		
516.				El techo de la casa de mi padre se cayó.		El techo de la casa de mi padre se cayó.		
517.				El mango del machete está quebrado.		El mango del machete está quebrado.		
518.				El agua de este pozo en mala.		El agua de este pozo en mala.		
519.				El agua del río está sucia.		El agua del río está sucia.		
520.				Tengo un cinturón de piel.		Tengo un cinturón de piel.		
521.				El agua de la olla está hirviendo.		El agua de la olla está hirviendo.		
522.				El viento del norte es frío.		El viento del norte es frío.		
523.				El costal para el café está agujerado.		El costal para el café está agujerado.		
524.				El costal de café pesa mucho.		El costal de café pesa mucho.		
525.				El perro negro es mío.		El perro negro es mío.		
526.				Ese perro chico negro es mío.		Ese perro chico negro es mío.		
527.				La pared de ladrillos es más fuerte que la de adobe.		La pared de ladrillos es más fuerte que la de adobe.		
528.				El es más alto que yo.		El es más alto que yo.		
				El es más alto que tu hijo.		El es más alto que tu hijo.		
529.				El es tan alto como yo.		El es tan alto como yo.		
				El es tan alto como tu hijo.		El es tan alto como tu hijo.		
530.				El vino antes que yo.		El vino antes que yo.		
				El vino antes que tu hijo.		El vino antes que tu hijo.		
531.				El vino más tarde que yo.		El vino más tarde que yo.		
				El vino más tarde que tu hijo.		El vino más tarde que tu hijo.		
532.				El es menos rápido que yo.		El es menos rápido que yo.		
				El es menos rápido que tu hijo.		El es menos rápido que tu hijo.		
533.				El trabaja tan bien como yo.		El trabaja tan bien como yo.		
				El trabaja tan bien como tu hijo.		El trabaja tan bien como tu hijo.		
534.				Voy a comprar casi todas esas gallinas blancas.		Voy a comprar casi todas esas gallinas blancas.		
535.				Algunos de esos niños estás enfermos.		Algunos de esos niños estás enfermos.		
536.				Casi todos esos niños están enfermos.		Casi todos esos niños están enfermos.		
537.				Ninguno de esos niños está enfermo.		Ninguno de esos niños está enfermo.		
538.				Cada uno de esos niños comió un dulce.		Cada uno de esos niños comió un dulce.		
539.				Cualquiera de estos niños te llamará.		Cualquiera de estos niños te llamará.		
540.				Muchos de estos niños están enfermos.		Muchos de estos niños están enfermos.		
541.				Pocos de estos niños están enfermos.		Pocos de estos niños están enfermos.		
542.				Bastantes niños están enfermos.		Bastantes niños están enfermos.		
543.				Vendí muchos sarapes.		Vendí muchos sarapes.		
				Vendí algunos sarapes		Vendí algunos sarapes		
				Vendí pocos sarapes.		Vendí pocos sarapes.		
				Vendí bastantes sarapes.		Vendí bastantes sarapes.		
544.				Comió demasiado de esta comida.		Comió demasiado de esta comida.		
545.				Comió demasiados chiles.		Comió demasiados chiles.		
546.			Ama	uno		uno		
			Obe	dos		dos		
			Inu	tres		tres		
			Kùù	cuatro		cuatro		
			Ju'u	cinco		cinco		
			Joo	seis		seis		
			Neachea	siete		siete		
			Nini	ocho		ocho		
			Nòò	nueve		nueve		
			Nichi	diez		diez		
			Nichama	once		once		
			Niku	veinte		veinte		
			Ju'u jeku	cien		cien		
547.			Bea ama yuduu ñe'ë	Tengo un caballo.		Tengo un caballo.		
548.			Bea obe itintu kuä ñe'ë	Tengo dos bueyes negros.		Tengo dos bueyes negros.		
549.			A che'ë ama nèè bakud	Fui a tu casa una vez.		Fui a tu casa una vez.		
			A che'ë obe nèè bakud	Fui a tu casa dos veces		Fui a tu casa dos veces		
				Fui a  tu casa tres veces.		Fui a tu casa tres veces.		
550.			Am amas kanós ñe'e no ba'a	Los hombres salieron de la casa uno por uno.		Los hombres salieron de la casa uno por uno.		
			Ob obes kanós ñe'e no ba'a	Los hombres salieron de la casa de dos en dos.		Los hombres salieron de la casa de dos en dos.		
			In inus kanós ñe'e no ba'a	Los hombres salieron de la casa de tres en tres.		Los hombres salieron de la casa de tres en tres.		
551.			Kuto'on ama tuu	¡Agarren una piedra cada uno!		¡Agarren una piedra cada uno!		
552.				¡Hagan una señal cada dos árboles!		¡Hagan una señal cada dos árboles!		
553.			Juóm kuno'os tum gua nichid so'ö	Juan se fue para que no lo vieras.		Juan se fue para que no lo vieras.		
554.			Ndó Juó tum nichid so'ö	Juan vino para que lo vieras.		Juan vino para que lo vieras.		
555.			Ká ama it dítuu tumin techkó no'o nukut	Compre una mula para acarrear leña		Compré la carreta para llevar la leña.		
556.			Ká ama burru tumin techkód no'o nukut	Compre un burro para que acarrees leña		Compré la carreta para que lleves la leña.		
557.			Ko'ö a ndar gea kubi	Voy a ir aunque está lloviendo.		Voy a ir aunque está lloviendo.		
558.				Voy a ir aunque llueva.		Voy a ir aunque llueva.		
559.			Nichi ko'öd tum nub kanid	Si vas a ir apúrate.		Si vas a ir apúrate.		
560.			Nichi nichi so'ö tum kaka machetem so'ö	Si lo veo le pido el machete.		Si lo veo le pido el machete.		
561.				Si lo viera le pediría el machete.		Si lo viera le pediría el machete.		
562.			Nichi nichi so'ön tumin chika machetem so'ö	Si lo hubera visto le habría pedido el machete.		Si lo hubera visto le habría pedido el machete.		
563.			Nigua no'ö ti gua jidí ntiñu 	Creo que me voy a ir porque no estoy trabajando 		Me voy porque no estoy trabajando.		
564.			Gua ko'ös dimos ti bö'os	No va solo porque tiene miedo.		No va solo porque tiene miedo.		
565.			Juó kayadus tochi ndod 	Juan estaba durmiendo cuando llegaste.		Juan estaba durmiendo cuando llegaste.		
566.			Juó kayadus ni tochi ndod 	Juan estuvo durmiendo hasta que llegaste.		Juan estuvo durmiendo hasta que llegaste.		
567.				Juan estuvo durmiendo desde que llegaste.		Juan estuvo durmiendo desde que llegaste.		
568.				Jaun estuvo dormido antes de que llegaras.		Jaun estuvo dormido antes de que llegaras.		
569.			Juó kudadus tochi ndod	Juan va a dormir cuando llegues.		Juan va a dormir cuando llegues.		
570.			Juó kayadus ni tochi ndod	Juan va a dormir hasta que llegues.	(Después se va a levantar)	Juan va a dormir hasta que llegues. (Después se va a levantar)		
571.				Juan  va a dormir apenas llegues.	(hasta ese momento va a estar levantando)	Juan va a dormir apenas llegues. (hasta ese momento va a estar levantando)		
572.			Dí kuned ti je'e yuntu	Quédate quieto porque estoy comiendo 		No me molestes cuando estoy comiendo.		
573.				No me molestes cuando como.		No me molestes cuando como.		
574.				Si quieren irse que se vayan.		Si quieren irse que se vayan.		
575.			Juó ko'ös kunus nata	Juan va a sembrar maiz		Juan va a sembrar chile y yo también.		
576.			Juó ko'ö kunus nata, un gua 	Juan va a sembrar maíz pero yo no.		Juan va a sembrar chile pero yo no.		
577.			Juó gua kunus, un kunú	Juan no va a sembrar, pero yo sí.		Juan no va a sembrar, pero yo sí.		
578.			Guad bea ne'ë	No quiero nada 		No quiero nada de eso.		
579.			¿A ne'ed ama dea ñe'ë chu?	¿Quiere algo de esto?		¿Quiere algo de esto?		
580.			Gua jikadi jika dime	No puedo caminar solo.		No puedo caminar solo.		
581.			A tan kabiö chi kadi dì ntiñu	Ya sólo puedo trabajar en la mañana.		Ya sólo puedo trabajar en la mañana.		
582.				Ya mero voy.		Ya mero voy.		
583.			Chi jinu ñe'ë ntiñu	Me atrasé con el trabajo		Ahora es tarde para ir a trabajar.		
				Ahora es temprano para ir a trabajar.		Ahora es temprano para ir a trabajar.		
584.			Yata kun ndá je'ë	Esta planta es buena para comer.		Esta planta es buena para comer.		
585.			Yata kun ndá ñe'e káa mi	Esta planta es buena para esa enfermedad.		Esta planta es buena para esa enfermedad.		
			Yata kun gua ndá ñe’e káa mi	Esta planta es mala para esa enfermedad.		Esta planta es mala para esa enfermedad.		
586.			Juó kanii jikás	Juan es rápido para caminar.		Juan es rápido para caminar.		
587.			Yeabean chéche ñe'e chi kùchi	Esta tierra es demasiado dura para sembrar.		Esta tierra es demasiado dura para sembrar.		
588.			Mniñu a kutea jinichi'uu it cheanu	Ahora es raro ver venados en el monte.		Ahora es raro ver venados en el monte.		
589.				Ese caballo es difícil de amansar.		Ese caballo es difícil de amansar.		
590.				¡Ojalá venga pronto!		¡Ojalá venga pronto!		
591.			Nigua mniñu a chis	Puede que venga pronto.		Puede que venga pronto.		
592.			lï ka ten ú	No deme menos.	(Quiero un kilo de....) 	(Quiero un kilo de....) No deme menos.		
593.			¿A ndee ne'ed?	¿Quiere mucho?		¿Quiere mucho?		
594.			Gua, lïn ten ú	No, deme poco.		No, deme poco.		
